order_id,user_id,product_id,post_id,bandId,customer_name,customer_bandId,customer_profile,quantity,price,total_amount,comment,status,ordered_at,confirmed_at,completed_at,band_comment_id,band_comment_url,admin_note,updated_at,history,canceled_at,price_option_used,content
82443310_26184_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,단풍조아,,,2,9900,19800,1판이요,주문완료,2025-03-31 02:41:00+00,,,26184_comment_1,https://band.us/band/82443310/post/26184#comment,,,,,30구 x 2,
82443310_26184_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,가빈과일첫째,,,4,9900,39600,@경서 @단풍조아 감사합니다2,주문완료,2025-03-31 02:42:00+00,,,26184_comment_2,https://band.us/band/82443310/post/26184#comment,,,,,30구 x 4,
82443310_26184_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,효준맘,,,2,9900,19800,2판이요,주문완료,2025-03-31 03:27:00+00,,,26184_comment_3,https://band.us/band/82443310/post/26184#comment,,,,,30구 x 2,
82443310_26184_4,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,가빈과일첫째,,,4,9900,39600,@효준맘 감사합니다4,주문완료,2025-03-31 04:10:00+00,,,26184_comment_4,https://band.us/band/82443310/post/26184#comment,,,,,30구 x 4,
82443310_26184_5,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,김수희,,,1,9900,9900,1판요,주문완료,2025-03-31 04:20:00+00,,,26184_comment_5,https://band.us/band/82443310/post/26184#comment,,,,,30구,
82443310_26184_6,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,09abb9b0e8ec5626f94096d4cc834d8968b542e35fed2df8f870db7d4ea64c75,26184,82443310,가빈과일첫째,,,4,9900,39600,@김수희 감사합니다5,주문완료,2025-03-31 04:42:00+00,,,26184_comment_6,https://band.us/band/82443310/post/26184#comment,,,,,30구 x 4,
82443310_26185_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,e1dfba14ed13ddd41858bf0351605b0e4b36d163312252886fda368a29e16881,26185,82443310,썬75,,,2,7500,15000,1병이요,주문완료,2025-03-31 03:43:00+00,,,26185_comment_0,https://band.us/band/82443310/post/26185#comment,,,,,500ml x 2,
82443310_26185_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,e1dfba14ed13ddd41858bf0351605b0e4b36d163312252886fda368a29e16881,26185,82443310,가빈과일첫째,,,4,7500,30000,@썬75 감사합니다1,주문완료,2025-03-31 04:14:00+00,,,26185_comment_1,https://band.us/band/82443310/post/26185#comment,,,,,500ml x 4,
82443310_26205_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,bebdf8838254059dba1cae02d2d2076e423c56e218395ac7d6d775bb2e927bd4,26205,82443310,미녀용,,,3,7900,23700,3팩,주문완료,2025-04-01 01:04:00+00,,,26205_comment_0,https://band.us/band/82443310/post/26205#comment,,,,,350g 1팩 x 3,
82443310_26205_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,bebdf8838254059dba1cae02d2d2076e423c56e218395ac7d6d775bb2e927bd4,26205,82443310,꼬마돼지,,,2,7900,15800,2팩이요,주문완료,2025-04-01 01:05:00+00,,,26205_comment_1,https://band.us/band/82443310/post/26205#comment,,,,,350g 1팩 x 2,
82443310_26205_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,bebdf8838254059dba1cae02d2d2076e423c56e218395ac7d6d775bb2e927bd4,26205,82443310,가빈과일마켓(010 8624 0169),,,4,7900,31600,@미녀용 @꼬마돼지 감사합니다5,주문완료,2025-04-01 01:06:00+00,,,26205_comment_2,https://band.us/band/82443310/post/26205#comment,,,,,350g 1팩 x 4,
82443310_26206_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,433651721c1c1075695d4e26524ba72d898e87da82a24f3e327d993ca219d1b5,26206,82443310,태은맘,,,1,4900,4900,1팩,주문완료,2025-04-01 01:14:00+00,,,26206_comment_0,https://band.us/band/82443310/post/26206#comment,,,,,1팩,
82443310_26206_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,433651721c1c1075695d4e26524ba72d898e87da82a24f3e327d993ca219d1b5,26206,82443310,가빈과일첫째,,,4,4900,19600,@태은맘 감사합니다1,주문완료,2025-04-01 01:16:00+00,,,26206_comment_1,https://band.us/band/82443310/post/26206#comment,,,,,1팩 x 4,
82443310_26206_10,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,433651721c1c1075695d4e26524ba72d898e87da82a24f3e327d993ca219d1b5,26206,82443310,가빈과일첫째,,,4,4900,19600,@연우연서맘 @지선 감사합니다7,주문완료,2025-04-01 04:45:00+00,,,26206_comment_10,https://band.us/band/82443310/post/26206#comment,,,,,1팩 x 4,
82443310_26206_11,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,433651721c1c1075695d4e26524ba72d898e87da82a24f3e327d993ca219d1b5,26206,82443310,정우맘,,,1,4900,4900,1팩요,주문완료,2025-04-01 05:14:00+00,,,26206_comment_11,https://band.us/band/82443310/post/26206#comment,,,,,1팩,
82443310_26206_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,433651721c1c1075695d4e26524ba72d898e87da82a24f3e327d993ca219d1b5,26206,82443310,신지연맘,,,1,4900,4900,1팩이요,주문완료,2025-04-01 01:30:00+00,,,26206_comment_2,https://band.us/band/82443310/post/26206#comment,,,,,1팩,
